OBJECTID,ADDRESS
1,石溪村涌边中街65号45房
2,红星村浮山大街四社9号
3,神山管理区安和街10号
4,燕塘地铁口肯德基
5,永泰地铁站A出口
6,龙美村汤龙里8号2楼
7,大学城华南理工大学第一饭堂
8,天河客运站旁长兴路高德汇广场麦当劳
9,石楼镇市莲路陈带巷9号
10,前进街石溪东村街30号一楼
11,华立路华立学院
12,荔乡路华厦银行
13,岐山大街永客隆超市
14,南村镇恒美村英泰里一横巷13号
15,龙洞天源路农业银行
16,黄埔大道华侨医院4号楼6楼西区肾脏外科
17,龙归夏良幼儿园市头大街15号
18,体育东路和天河南二路交界
19,赤岗东路海利假日轩1608房
20,天河南一路正佳广场地下车库入口旁边
21,同和地铁C出口
22,大石武警医院朝阳东路261号农行ATM
23,中山大学北门
24,环市东路426号
25,农林下路83号广发大厦
26,人和东华村大田东五巷6号301房
27,长红村竹仔园大街三巷11号二楼
28,淘金路正平南街5号
29,永胜上沙东湖御苑的农业银行
30,花山镇紫西村3队37号
31,坦尾西巷275号八层楼对面
32,益群村太平庄渔塘边
33,赤岗东一街13号201房
34,中山八路10号华润万家
35,横枝岗前寮13号102房
36,沙溪一村顾地大街3巷16号1楼
37,花都益群小学
38,窖口汽车站售票厅
39,泰康路跟回龙路交界万艺广场23楼
40,东平东屋村中心东一巷17号605
41,南村市头公园
42,增江街珠江学院对面路边
43,南岗生活区鹿步北街13巷17号
44,黄阁镇梅山生活区
45,南洲(自行到所）南洲路118号之5
46,员村怡景花园A栋317房
47,盈嘉花园Ｂ栋２１０６房
48,大石佛庵坊大街9号
49,下渡路140号南边6号铺
50,环市东路广良大厦首层中国银行
51,人和大街建设银行（七天连锁酒店对面）
52,中大西区建设银行
53,嘉禾望岗塘田街126号工商银行
54,石溪西大街7巷11号201房
55,棠安路新景公园
56,三元里广园西路183号广东技术师范学院北校区宿舍5栋5301
57,公交车站西村站（往同德围方向）
58,棠景街乐嘉路农业银行
59,中山八路(民民旅社)广佛汽车站旁边
60,增漖洪石坊5号
61,狮岭商行街中国邮政
62,炭步交警中队对面的农商银行
63,从化区太平镇广州大学华软软件学院南
64,洛溪新城工商银行大石洛浦支行
65,石井槎头潭村大基围10巷12号404
66,大石镇植村西约一街二号二楼
67,机场路向云新街61号901房
68,嘉禾岭南新世界C22栋1401
69,童心路西胜街青少年科技馆内
70,黄埔大道暨南大学礼堂
71,东圃镇石溪村狮子街1号如家公寓701
72,五号停机坪内
73,榄核民生路尚乐网吧
74,沙太南汉庭酒店
75,洛溪新城（洛涛南区27栋之五505房）
76,中山大学生活区至善园10号宿舍
77,石滩镇立新路27号工商银行对面
78,新塘客运站对面工商银行
79,塘坑后街荔枝生产第三基地旁
80,九龙镇九龙大道康大学院
81,恒美大道1313号张城服饰厂2楼
82,广东药学院宿舍楼4栋403房
83,科韵路天盈建博汇建材市场内
84,华南农业大学启林南35栋807
85,华南农业大学五山地铁口
86,五山路139号天立大厦B房201房
87,银兴宾馆
88,东莞庄路天一新村西区H栋楼下
89,猎德大道31号A7栋2401房
90,钟村(祈福新村)蝶舞轩十街8栋6A
91,花城汇北区891H手机店
92,罗马家园工商银行
93,天河路悦新街3号空军干休所B栋401
94,太和镇龙归金箔广场农业银行
95,晓港湾花园B14栋403房
96,中华广场正
97,江南大道中亲巷12号
98,清湖村牌坊
99,江南西路53号-2邮政储蓄银行
100,工商银行(三元里大道23号)
